iter	Passed	Remaining
0	149	149030
1	151	75554
2	153	51019
3	155	38780
4	157	31414
5	160	26526
6	162	23048
7	164	20400
8	166	18351
9	168	16704
10	170	15363
11	173	14246
12	175	13300
13	177	12480
14	179	11768
15	181	11145
16	183	10603
17	185	10134
18	187	9690
19	189	9284
20	192	8954
21	194	8624
22	195	8318
23	197	8036
24	199	7779
25	201	7537
26	202	7314
27	204	7110
28	206	6924
29	208	6749
30	210	6587
31	212	6433
32	214	6274
33	215	6126
34	217	5986
35	218	5856
36	220	5739
37	225	5718
38	231	5712
39	233	5612
40	235	5514
41	237	5408
42	238	5310
43	240	5217
44	241	5127
45	243	5041
46	244	4954
47	245	4866
48	246	4786
49	247	4709
50	257	4800
51	259	4735
52	261	4669
53	263	4610
54	264	4553
55	266	4494
56	273	4528
57	278	4524
58	281	4483
59	282	4432
60	284	4380
61	286	4331
62	288	4286
63	290	4241
64	298	4298
65	303	4291
66	305	4259
67	307	4208
68	309	4171
69	311	4136
70	313	4096
71	314	4058
72	316	4014
73	317	3971
74	318	3929
75	331	4024
76	333	3998
77	335	3963
78	337	3929
79	338	3898
80	340	3867
81	346	3876
82	354	3913
83	356	3885
84	357	3846
85	359	3815
86	360	3778
87	361	3747
88	363	3717
89	364	3687
90	366	3656
91	378	3735
92	381	3717
93	383	3697
94	385	3674
95	387	3652
96	389	3628
97	395	3641
98	403	3670
99	405	3651
100	407	3629
101	408	3598
102	410	3573
103	411	3547
104	413	3526
105	423	3573
106	425	3551
107	427	3528
108	429	3510
109	430	3487
110	432	3462
111	433	3438
112	435	3415
113	436	3392
114	437	3369
115	438	3343
116	440	3321
117	441	3297
118	442	3272
119	452	3321
120	454	3304
121	456	3284
122	457	3259
123	459	3246
124	469	3284
125	471	3267
126	473	3251
127	474	3233
128	476	3215
129	477	3196
130	480	3189
131	491	3231
132	494	3220
133	495	3203
134	497	3186
135	499	3170
136	500	3154
137	502	3136
138	513	3183
139	516	3170
140	518	3157
141	520	3146
142	522	3130
143	523	3113
144	525	3098
145	527	3083
146	540	3133
147	543	3128
148	545	3115
149	547	3100
150	549	3090
151	552	3080
152	562	3116
153	566	3110
154	568	3099
155	570	3086
156	572	3072
157	573	3057
158	575	3043
159	577	3030
160	592	3089
161	595	3079
162	605	3108
163	609	3104
164	612	3098
165	619	3110
166	625	3121
167	633	3136
168	638	3139
169	642	3134
170	643	3121
171	645	3107
172	646	3092
173	648	3077
174	649	3063
175	650	3047
176	652	3032
177	653	3018
178	666	3056
179	668	3044
180	669	3029
181	683	3072
182	685	3059
183	688	3052
184	690	3040
185	691	3027
186	693	3012
187	696	3006
188	704	3024
189	706	3012
190	708	3000
191	710	2987
192	711	2975
193	713	2962
194	714	2951
195	724	2971
196	728	2968
197	730	2957
198	732	2948
199	734	2937
200	735	2925
201	737	2912
202	739	2901
203	740	2890
204	752	2916
205	755	2910
206	757	2903
207	760	2893
208	764	2892
209	766	2882
210	778	2911
211	790	2938
212	798	2951
213	800	2940
214	802	2929
215	804	2918
216	805	2907
217	807	2895
218	808	2883
219	819	2905
220	821	2896
221	823	2887
222	825	2876
223	827	2866
224	829	2855
225	830	2844
226	832	2833
227	833	2821
228	834	2809
229	835	2798
230	837	2786
231	844	2794
232	848	2793
233	850	2783
234	851	2773
235	853	2763
236	855	2753
237	861	2757
238	866	2759
239	868	2751
240	870	2741
241	872	2732
242	873	2722
243	875	2712
244	877	2703
245	878	2693
