iter	Passed	Remaining
0	148	148628
1	151	75395
2	153	50939
3	157	39294
4	160	31884
5	162	26879
6	164	23337
7	167	20758
8	170	18823
9	173	17223
10	176	15829
11	178	14679
12	180	13695
13	182	12843
14	185	12192
15	187	11534
16	189	10980
17	191	10466
18	193	10001
19	195	9592
20	199	9300
21	201	8976
22	203	8654
23	205	8358
24	207	8089
25	209	7844
26	216	7789
27	218	7569
28	219	7364
29	221	7168
30	223	6989
31	225	6834
32	229	6718
33	231	6570
34	233	6424
35	234	6290
36	236	6163
37	238	6044
38	240	5929
39	243	5855
40	245	5752
41	247	5652
42	249	5554
43	252	5482
44	254	5403
45	256	5319
46	259	5256
47	261	5183
48	263	5112
49	266	5063
50	268	5000
51	271	4948
52	274	4898
53	276	4846
54	279	4796
55	281	4743
56	283	4692
57	286	4651
58	288	4605
59	290	4556
60	293	4513
61	295	4466
62	297	4421
63	299	4381
64	302	4350
65	304	4313
66	307	4286
67	309	4247
68	311	4207
69	314	4173
70	317	4152
71	320	4127
72	322	4094
73	324	4062
74	326	4028
75	329	4000
76	331	3970
77	333	3944
78	335	3916
79	338	3887
80	340	3858
81	342	3833
82	343	3795
83	347	3786
84	349	3765
85	352	3750
86	355	3728
87	357	3707
88	362	3713
89	365	3691
90	367	3669
91	369	3648
92	371	3624
93	373	3601
94	378	3602
95	380	3584
96	383	3566
97	385	3545
98	387	3528
99	389	3509
100	392	3495
101	395	3478
102	397	3459
103	399	3441
104	401	3423
105	403	3407
106	407	3398
107	409	3382
108	411	3366
109	414	3352
110	416	3337
111	418	3318
112	421	3307
113	423	3289
114	425	3272
115	427	3254
116	428	3233
117	430	3216
118	432	3199
119	433	3182
120	436	3172
121	438	3154
122	440	3138
123	441	3122
124	443	3105
125	445	3090
126	447	3072
127	448	3057
128	452	3055
129	454	3040
130	456	3025
131	457	3011
132	460	3000
133	462	2985
134	463	2972
135	466	2963
136	468	2950
137	470	2936
138	471	2922
139	473	2909
140	476	2900
141	477	2886
142	479	2874
143	482	2866
144	484	2854
145	486	2843
146	488	2831
147	490	2823
148	492	2813
149	496	2811
150	498	2802
151	500	2791
152	502	2781
153	504	2773
154	507	2765
155	509	2758
